source_country,destination_country,gsv
Bulgaria,France,157759
Bulgaria,Austria,150525
Bulgaria,Benin,144820
Bulgaria,Kenya,121730
Bulgaria,India,118030
Bulgaria,Philippines,93978
Bulgaria,Ghana,76207
Bulgaria,Finland,32373
Bulgaria,Cameroon,25472
Bulgaria,Tanzania,24667
Bulgaria,Uganda,23824
Bulgaria,Portugal,18261
Bulgaria,Ireland,16648
Bulgaria,C̫te d'Ivoire,11241
Bulgaria,Sierra Leone,4968
Bulgaria,Latvia,4804
Bulgaria,Mozambique,4172
Bulgaria,Luxembourg,4079
Bulgaria,Bulgaria,3431
Bulgaria,Estonia,3034
Bulgaria,Zambia,2124
Bulgaria,Senegal,2068
Bulgaria,Indonesia,1807
Bulgaria,Cyprus,1204
Bulgaria,South Africa,930
Bulgaria,Mongolia,823
Bulgaria,Colombia,465
Bulgaria,Tunisia,116
Bulgaria,Ethiopia,26
Bulgaria,Malaysia,12
Bulgaria,Egypt, -   
Burkina Faso,France,206534
Burkina Faso,Belgium,44094
Burkina Faso,Ghana,27210
Burkina Faso,Spain,6048
Burkina Faso,Burkina Faso,2593
Burkina Faso,Bangladesh,2411
Burkina Faso,Italy,1561
Burkina Faso,Tanzania,1450
Burkina Faso,Germany,1247
Burkina Faso,C̫te d'Ivoire,477
Burkina Faso,Benin,286
Burkina Faso,Gabon,285
Burkina Faso,Uganda,196
Burkina Faso,Cameroon,71
Burundi,"Congo, Democratic Republic of the",1361
C̫te d'Ivoire,France,41670378
C̫te d'Ivoire,Belgium,6103511
C̫te d'Ivoire,Spain,1198659
C̫te d'Ivoire,Netherlands,892045
C̫te d'Ivoire,Germany,772987
C̫te d'Ivoire,Italy,530057
C̫te d'Ivoire,Lithuania,471845
C̫te d'Ivoire,Portugal,212247
C̫te d'Ivoire,Ghana,145586
C̫te d'Ivoire,Austria,84405
C̫te d'Ivoire,Viet Nam,55529
C̫te d'Ivoire,India,55467
C̫te d'Ivoire,Luxembourg,29703
C̫te d'Ivoire,Latvia,23874
C̫te d'Ivoire,Cameroon,23744
C̫te d'Ivoire,C̫te d'Ivoire,23408
C̫te d'Ivoire,Kenya,13895
C̫te d'Ivoire,Gabon,4997
C̫te d'Ivoire,Tanzania,3595
C̫te d'Ivoire,Mali,3205
C̫te d'Ivoire,South Africa,3122
C̫te d'Ivoire,Egypt,3085
C̫te d'Ivoire,Malaysia,2948
C̫te d'Ivoire,Benin,2277
C̫te d'Ivoire,Guinea-Bissau,1092
C̫te d'Ivoire,Tunisia,1047
C̫te d'Ivoire,Senegal,910
C̫te d'Ivoire,Uganda,542
C̫te d'Ivoire,Finland,328
C̫te d'Ivoire,Mozambique,96
Cabo Verde,Portugal,14924
Cabo Verde,Spain,9611
Cabo Verde,Belgium,978
Cabo Verde,France,662
Cambodia,Viet Nam,370573
Cambodia,India,68908
Cambodia,France,64336
Cambodia,Philippines,36017
Cambodia,Kenya,18447
Cambodia,Cameroon,16486
Cambodia,China,11249
Cambodia,Malaysia,7394
Cambodia,Tanzania,3987
Cambodia,Germany,2196
Cambodia,Spain,1908
Cambodia,Bangladesh,1361
Cambodia,Ghana,1187
Cambodia,Uganda,1110
Cambodia,Sri Lanka,331
Cambodia,Belgium,242
Cambodia,Italy,158
Cambodia,Portugal,156
Cameroon,Belgium,57913726
Cameroon,Mali,2902030
Cameroon,Netherlands,2887263
Cameroon,Benin,2680518
Cameroon,France,2384431
Cameroon,C̫te d'Ivoire,1629509
Cameroon,Germany,742687
Cameroon,Italy,583218
Cameroon,Lithuania,255345
Cameroon,United States of America,173314
Cameroon,Senegal,158765
Cameroon,Spain,150276
Cameroon,India,124552
Cameroon,Poland,86372
Cameroon,Austria,71115
Cameroon,Sweden,36006
Cameroon,Slovenia,23534
Cameroon,Kenya,22449
Cameroon,Tanzania,22386
Cameroon,United Kingdom,19337
Cameroon,Morocco,18813
Cameroon,Luxembourg,15373
Cameroon,Uganda,11806
Cameroon,Burkina Faso,11011
Cameroon,Switzerland,10960
Cameroon,Finland,10012
Cameroon,Cameroon,9507
Cameroon,Turkey,8915
Cameroon,Portugal,5867
Cameroon,Ghana,5208
Cameroon,Estonia,3083
Cameroon,South Africa,1810
Cameroon,China,1747
Cameroon,"Congo, Democratic Republic of the",1743
Cameroon,Bulgaria,1670
Cameroon,Viet Nam,1411
Cameroon,Togo,1000
Cameroon,Burundi,278
Cameroon,Guinea,166
Cameroon,Gabon,17
Cameroon,Nigeria,12
Cameroon,Congo,3
Canada,India,211296069
Canada,Philippines,57990615
Canada,Ghana,57154456
Canada,Viet Nam,37930649
Canada,Kenya,29951383
Canada,Uganda,27682200
Canada,Benin,22477592
Canada,Bangladesh,19317938
Canada,Cameroon,18872246
Canada,Tanzania,18091580
Canada,United Kingdom,13373179
Canada,C̫te d'Ivoire,10377659
Canada,Senegal,8699326
Canada,France,8320733
Canada,Portugal,5410983
Canada,"Congo, Democratic Republic of the",3972365
Canada,Germany,3525451
Canada,Italy,3463666
Canada,Spain,3428331
Canada,Mali,3017634
Canada,Malaysia,2218429
Canada,Lithuania,2213226
Canada,Belgium,2139148
Canada,Haiti,1901148
Canada,Pakistan,1388364
Canada,Egypt,1265495
Canada,Thailand,1228173
Canada,Netherlands,1127510
Canada,South Africa,903868
Canada,Rwanda,856775
Canada,Austria,805802
Canada,Liberia,778039
Canada,Gabon,700289
Canada,Brazil,690437
Canada,Mozambique,307710
Canada,Burkina Faso,290540
Canada,Sierra Leone,253738
Canada,Latvia,232506
Canada,Finland,189431
Canada,Zimbabwe,179151
Canada,Mongolia,117269
Canada,Ethiopia,93480
Canada,Ireland,79873
Canada,Romania,77378
Canada,Guinea,76687
Canada,Switzerland,75905
Canada,Czechia,56281
Canada,Poland,52999
Canada,Tunisia,50754
Canada,China,47363
Canada,Indonesia,39380
Canada,Estonia,39226
Canada,Malawi,39156
Canada,Zambia,38418
Canada,Luxembourg,34557
Canada,Burundi,32296
Canada,Mexico,30163
Canada,Sri Lanka,24501
Canada,Slovakia,24207
Canada,Canada,23662
Canada,Australia,23654
Canada,United States of America,23440
Canada,Nigeria,22635
Canada,Cyprus,14970
Canada,Bulgaria,14724
Canada,Togo,14405
Canada,Slovenia,14169
Canada,Gambia,13949
Canada,Nepal,13166
Canada,Malta,11890
Canada,Sweden,10871
Canada,Hungary,10776
Canada,Colombia,7474
Canada,Liechtenstein,6740
Canada,Norway,5155
Canada,Denmark,4765
Canada,Greece,3993
Canada,Brunei Darussalam,3950
Canada,Croatia,3925
Canada,Guinea-Bissau,2963
Canada,South Sudan,1485
Canada,Congo,744
Canada,"Korea, Republic of",97
Canada,Iceland,23
Canada,Singapore,21
Canada,United Arab Emirates,16
Canada,Cambodia,7
Canada,Turkey,4
Canada,Costa Rica,3
Canada,Botswana,3
Canada,Bahrain,3
Canada,Madagascar,1
Cayman Islands,Kenya,299989
Cayman Islands,Philippines,217575
Cayman Islands,India,56472
Cayman Islands,Ghana,45738
Cayman Islands,Germany,15737
Cayman Islands,Portugal,13967
Cayman Islands,Netherlands,12319
Cayman Islands,Uganda,11780
Cayman Islands,Italy,9567
Cayman Islands,Viet Nam,6163
Cayman Islands,Tanzania,5377
Cayman Islands,France,5102
Cayman Islands,Malaysia,3717
Cayman Islands,Spain,2972
Cayman Islands,Cameroon,248
Chile,Spain,8343013
Chile,Colombia,1541021
Chile,Germany,1148057
Chile,France,811178
Chile,Belgium,483562
Chile,Italy,440334
Chile,Portugal,400889
Chile,India,335217
Chile,Netherlands,239617
Chile,Philippines,195318
Chile,Austria,125115
Chile,Lithuania,98775
Chile,Ghana,97829
Chile,Viet Nam,77903
Chile,United States of America,43460
Chile,Finland,42072
Chile,Senegal,18588
Chile,Ireland,18386
Chile,Bolivia (Plurinational State of),16090
Chile,Uganda,11117
Chile,Haiti,8711
Chile,C̫te d'Ivoire,8519
Chile,Luxembourg,8064
Chile,Kenya,7463
Chile,Benin,3561
Chile,"Congo, Democratic Republic of the",3039
Chile,Tanzania,2096
Chile,Peru,2030
Chile,Cameroon,1979
Chile,Malaysia,1636
Chile,Mozambique,1178
Chile,Egypt,889
Chile,Bangladesh,875
Chile,South Africa,756
Chile,Latvia,651
Chile,Estonia,590
Chile,Bulgaria,328
Chile,Mongolia,61
Chile,Turkey, -   
China,Viet Nam,1037359
China,Kenya,72837
China,Ghana,23097
China,Tanzania,12944
China,Uganda,2204
Colombia,Spain,13927243
Colombia,France,1696488
Colombia,Germany,1522449
Colombia,Portugal,484709
Colombia,Netherlands,408342
Colombia,Italy,387334
Colombia,Belgium,308095
Colombia,Viet Nam,89219
Colombia,Austria,82580
Colombia,Lithuania,75623
Colombia,Ghana,52779
Colombia,Finland,12792
Colombia,Kenya,7042
Colombia,Luxembourg,6001
Colombia,Malta,4462
Colombia,Estonia,3859
Colombia,India,3057
Colombia,Malaysia,2580
Colombia,Tanzania,1231
Colombia,Uganda,1207
Colombia,Ireland,1050
Colombia,Latvia,594
Comoros,France,43714
Comoros,Tanzania,1229
Comoros,Senegal,261
Congo,France,25657220
Congo,India,2845506
Congo,Belgium,1106256
Congo,Germany,623025
Congo,Spain,473600
Congo,Italy,438793
Congo,Portugal,341163
Congo,United Kingdom,286740
Congo,Benin,282732
Congo,C̫te d'Ivoire,273450
Congo,Ghana,198346
Congo,Senegal,165001
Congo,Cameroon,107137
Congo,Netherlands,91307
Congo,Rwanda,83508
Congo,Switzerland,64138
Congo,Lithuania,62414
Congo,South Africa,52065
Congo,Monaco,51766
Congo,United Arab Emirates,51213
Congo,Finland,50913
Congo,Tanzania,36119
Congo,"Congo, Democratic Republic of the",31531
Congo,Turkey,30669
Congo,Kenya,28167
Congo,Ireland,28134
Congo,Poland,23240
Congo,Hungary,17159
Congo,Sweden,12267
Congo,Czechia,10071
Congo,Luxembourg,9135
Congo,Gabon,7657
Congo,Austria,5150
Congo,United States of America,3888
Congo,Mali,1967
Congo,Latvia,1489
Congo,Egypt,1412
Congo,Romania,671
Congo,Slovakia,292
Congo,Burkina Faso,249
Congo,Uganda,153
Congo,Morocco,10
Congo,Singapore,8
Congo,Canada,8
Congo,Estonia,6
Congo,Nigeria,2
Congo,Indonesia,1
"Congo, Democratic Republic of the",France,457124
"Congo, Democratic Republic of the",Belgium,413328
"Congo, Democratic Republic of the",Lithuania,83002
"Congo, Democratic Republic of the",Germany,75845
"Congo, Democratic Republic of the",India,53116
"Congo, Democratic Republic of the",United Kingdom,47520
"Congo, Democratic Republic of the",United States of America,35927
"Congo, Democratic Republic of the",Kenya,30918
"Congo, Democratic Republic of the",Poland,19785
"Congo, Democratic Republic of the",Portugal,19006
"Congo, Democratic Republic of the","Congo, Democratic Republic of the",10934
"Congo, Democratic Republic of the",Spain,6038
